Category,Epoch,Weight,Kernel Size,Roc Img,PRO Img,Roc Pixel,AP Pixel
bottle,1500,0.95,7,1.0,0.9781305987954658,0.9899590471948777,0.9168443986265533
cable,1500,0.95,7,0.985007496251874,0.927084566063108,0.9802605777824179,0.7786105188498569
capsule,1500,0.95,7,0.9940167530913442,0.9473725272788203,0.9796251234509334,0.511715707603409
carpet,1500,0.95,7,0.9799357945425361,0.922701251570468,0.9627210684464664,0.7401293200015461
grid,1500,0.95,7,1.0,0.9851118527874633,0.9957787040457546,0.6848642874303544
hazelnut,1500,0.95,7,1.0,0.9883631342121237,0.9956731557312486,0.9201910608870458
leather,1500,0.95,7,1.0,0.9662372502990254,0.9910710317583475,0.48107594373279366
metal_nut,1500,0.95,7,1.0,0.9582756636508999,0.966160425472683,0.8234182817445856
pill,1500,0.95,7,0.9833606110201855,0.9792215766003153,0.9802820408162117,0.7741626318968322
screw,1500,0.95,7,0.9862676778028285,0.9678783965887472,0.9917488780981729,0.6358204995881823
tile,1500,0.95,7,1.0,0.9880402389398091,0.9964630265245946,0.9700156382241212
toothbrush,1500,0.95,7,1.0,0.939874786030136,0.980898252591335,0.6466648620607416
transistor,1500,0.95,7,0.9954166666666667,0.832287718128662,0.7703973486316318,0.42961381217774497
wood,1500,0.95,7,0.9894736842105263,0.9481025567058695,0.9423169778951902,0.7439962193388188
zipper,1500,0.95,7,1.0,0.9653584858480806,0.9894814876054304,0.7631682007239742
Average,1500,0.95,7,0.9942319122390642,0.9529360402332662,0.9675224764030197,0.7213527588591041
