Category,Epoch,Weight,Kernel Size,Roc Img,PRO Img,Roc Pixel,AP Pixel
bagel,1500,0.95,7,0.9979338842975206,0.9814576279321449,0.9917006581099268,0.8703178377959108
cable_gland,1500,0.95,7,0.9288451012588943,0.9855950486631615,0.9940045232928606,0.6528308995874811
carrot,1500,0.95,7,0.9823232323232323,0.9956514012106626,0.9986432320140977,0.8130208068841324
cookie,1500,0.95,7,0.9986130374479889,0.9648033240845566,0.9772783326018663,0.8342448073192481
dowel,1500,0.95,7,0.9911242603550297,0.9538796938527963,0.9840456590851805,0.5326698243434691
foam,1500,0.95,7,1.0,0.9990700946322494,0.9997491107135974,0.9211477137115047
peach,1500,0.95,7,0.9695210449927432,0.9795279251680974,0.9953955926230078,0.8703086190305793
potato,1500,0.95,7,0.959486166007905,0.9902028479367614,0.9975880908265549,0.7592035810177631
rope,1500,0.95,7,1.0,0.990433832335418,0.9978600101072388,0.8804550938479924
tire,1500,0.95,7,0.992183908045977,0.9858329240384006,0.9963879212846316,0.7810806822327787
Average,1500,0.95,7,0.9820030634729291,0.982645471985425,0.9932653130658962,0.7915279865770859
