Category,Epoch,Weight,Kernel Size,Roc Img,PRO Img,Roc Pixel,AP Pixel
candle,1500,0.95,7,0.982,0.9272476512757915,0.9860943235107698,0.5079181108429631
capsules,1500,0.95,7,0.9870000000000001,0.9937179466882872,0.9977223615756795,0.8188032011988619
cashew,1500,0.95,7,0.9281999999999999,0.9466259833673235,0.9653706302319072,0.5672621171142352
chewinggum,1500,0.95,7,0.9998,0.9143883635318039,0.9836021952377194,0.23468964090833574
fryum,1500,0.95,7,0.9865999999999999,0.8658365775042356,0.9901224646560755,0.7845154817663959
macaroni1,1500,0.95,7,0.9989,0.9787353873232493,0.9975655676241387,0.4648947390136952
macaroni2,1500,0.95,7,0.9843,0.9898960371631581,0.9980160723456049,0.467924709785544
pcb1,1500,0.95,7,0.9995999999999999,0.964143537052953,0.9903936339222003,0.7219102690781192
pcb2,1500,0.95,7,0.9905999999999999,0.9326537753372753,0.9898157934877605,0.2828164577376947
pcb3,1500,0.95,7,0.9888118811881188,0.9537277508297922,0.9791553840595224,0.44579278824739926
pcb4,1500,0.95,7,0.9975247524752475,0.9271167301485208,0.9807210941551078,0.5461360298977074
pipe_fryum,1500,0.95,7,0.999,0.9661772339463461,0.954537582027205,0.5794882462882714
Average,1500,0.95,7,0.9868613861386137,0.9466889145140613,0.984426425236141,0.5351793159899351
